"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-01","1981","01","01","","1.7","","-5.5","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","56","","16","","59",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-02","1981","01","02","","2.1","","-0.4","","0.9","","17.1","","0.0","","0.7","","0.0","T","0.7","","54","","17","","54",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-03","1981","01","03","","3.2","","0.9","","2.1","","15.9","","0.0","","3.4","","0.0","T","3.4","","47","","18","","39",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-04","1981","01","04","","3.5","","-0.9","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","41","","18","","44",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-05","1981","01","05","","2.0","","-12.3","","-5.2","","23.2","","0.0","","0.0","","0.4","","0.4","","40","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-06","1981","01","06","","-3.1","","-9.0","","-6.1","","24.1","","0.0","","0.0","","3.4","","2.8","","43","","18","","39",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-07","1981","01","07","","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","0.0","T","0.0","T","42","","19","","46",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-08","1981","01","08","","0.2","","-14.7","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","42","","18","","44",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-09","1981","01","09","","-3.7","","-12.0","","-7.9","","25.9","","0.0","","0.0","","0.2","","0.2","","42","","17","","50","E"
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-10","1981","01","10","","1.0","","-6.7","","-2.9","","20.9","","0.0","","0.0","","0.2","","0.2","","42","","18","","44",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-11","1981","01","11","","3.0","","-0.4","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","42","","18","","56",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-12","1981","01","12","","1.4","","-11.4","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","41","","15","","41",""
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-13","1981","01","13","","0.4","","-11.6","","-5.6","","23.6","","0.0","","0.0","","0.3","","0.3","","41","","20","","70","E"
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-14","1981","01","14","","5.2","","-1.2","","2.0","","16.0","","0.0","","0.3","","0.0","","0.3","","41","","16","","63","E"
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-15","1981","01","15","","5.9","","3.3","","4.6","","13.4","","0.0","","0.0","T","0.0","","0.0","T","35","","16","","70","E"
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-16","1981","01","16","","4.0","","1.4","","2.7","","15.3","","0.0","","0.0","T","0.0","","0.0","T","35","","16","","43","E"
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-17","1981","01","17","","3.5","","-2.1","","0.7","","17.3","","0.0","","0.0","","0.0","T","0.0","T","34","","17","","31","E"
"-135.07","60.71","WHITEHORSE A","2101300","1981-01-18","1981","01","18","","3.6","","-0.5","","1.6","","16.4","","0.0","","1.2","","0.0","T","1.2","","33","","15","","48","E"
