"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-01","2023","01","01","","2.4","","-2.4","","0.0","","18.0","","0.0","","","","","","0.0","","15","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-02","2023","01","02","","2.5","","-1.3","","0.6","","17.4","","0.0","","","","","","0.0","","15","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-03","2023","01","03","","-0.6","","-3.3","","-1.9","","19.9","","0.0","","","","","","0.0","","14","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-04","2023","01","04","","0.4","","-3.2","","-1.4","","19.4","","0.0","","","","","","0.0","","14","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-05","2023","01","05","","1.3","","-2.4","","-0.5","","18.5","","0.0","","","","","","0.0","","14","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-06","2023","01","06","","5.4","","-1.6","","1.9","","16.1","","0.0","","","","","","0.0","","14","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-07","2023","01","07","","5.5","","-2.7","","1.4","","16.6","","0.0","","","","","","0.0","","14","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-08","2023","01","08","","3.3","","-0.7","","1.3","","16.7","","0.0","","","","","","3.3","","14","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-09","2023","01","09","","4.7","","0.7","","2.7","","15.3","","0.0","","","","","","1.3","","14","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-10","2023","01","10","","5.8","","0.3","","3.1","","14.9","","0.0","","","","","","0.1","","13","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-11","2023","01","11","","2.8","","-0.7","","1.0","","17.0","","0.0","","","","","","0.0","","12","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-12","2023","01","12","","2.3","","0.2","","1.3","","16.7","","0.0","","","","","","3.5","","12","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-13","2023","01","13","","3.4","","1.1","","2.3","","15.7","","0.0","","","","","","2.9","","11","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2023-01-14","2023","01","14","","6.7","","1.4","","4.1","","13.9","","0.0","","","","","","2.3","","9","","","","",""
